Feature,AylienNER + AGDISTIS,TagMe NED,DBpedia NER + AGDISTIS,Ambiverse NED,MeaningCloud NER + AGDISTIS,DBpedia NED,MeaningCloud NED,Textrazor NER + AGDISTIS,Dandelion NER + AGDISTIS,Dandelion NED,Ontotext NED,Babelfy NER + AGDISTIS,Ambiverse NER + AGDISTIS,Tagme NER + AGDISTIS,EntityClassifier NER + AGDISTIS,Babelfy NED,Stanford NER + AGDISTIS,Ontotext NER + AGDISTIS,AmbiverseNED 2.0,AmbiverseNER 2.0 + AGDISTIS
"e=1, caps",0.5057537399,0.6884349827,0.5532220944,0.1619677791,0.2330264672,0.668009206,0.1786536249,0.5345224396,0.6144994246,0.6740506329,0.4876294591,0.16570771,0.006904487917,0.5,0.586018412,0.5238780207,0.5537974684,0.5601265823,0.6852704258,0.2112581511
"e=1, no caps",0.1559139785,0.5806451613,0.1774193548,0.01075268817,0.07347670251,0.376344086,0.07616487455,0.2007168459,0.3252688172,0.5967741935,0.3082437276,0.05376344086,0.001792114695,0.2553763441,0.1066308244,0.4408602151,0.08960573477,0.2204301075,0.3207885305,0.05047789725
"e=1, explicit",0.5330969267,0.7987588652,0.5789007092,0.1507092199,0.2319739953,0.704787234,0.1855791962,0.5428486998,0.673463357,0.813534279,0.5443262411,0.1693262411,0.00768321513,0.554964539,0.561465721,0.5854018913,0.526891253,0.5848108747,0.6643026005,0.2104018913
"e=1, implicit",0.1074380165,0.2809917355,0.1355371901,0.05371900826,0.08842975207,0.2966942149,0.06446280992,0.2041322314,0.1834710744,0.2132231405,0.1644628099,0.0520661157,0,0.1214876033,0.2132231405,0.2760330579,0.2016528926,0.1785123967,0.4082644628,0.0650137741
"e=1, special char",0.2279792746,0.7383419689,0.1839378238,0.05699481865,0.2020725389,0.3419689119,0.05699481865,0.2694300518,0.3341968912,0.6010362694,0.5492227979,0.0621761658,0.0103626943,0.3393782383,0.2176165803,0.4455958549,0.2694300518,0.3445595855,0.4974093264,0.2642487047
"e=1, no special char",0.4386882129,0.655418251,0.4876425856,0.1314163498,0.1934410646,0.6207224335,0.1625475285,0.4705323194,0.5636882129,0.6604087452,0.434648289,0.1454372624,0.005228136882,0.450095057,0.4928707224,0.5092680608,0.456986692,0.4900190114,0.6059885932,0.1636565272
"e=1, words=1 or 1.5",0.4384885764,0.3752196837,0.4648506151,0.2803163445,0.04042179262,0.6274165202,0.3189806678,0.5026362039,0.5061511424,0.5764499121,0.3154657293,0.1871704745,0.01933216169,0.2082601054,0.5096660808,0.3128295255,0.4007029877,0.4182776801,0.5219683656,0.02811950791
"e=1, words=2 or 2.5",0.4887850467,0.7598130841,0.5528037383,0.1028037383,0.2126168224,0.6981308411,0.1093457944,0.5481308411,0.6102803738,0.7224299065,0.464953271,0.1672897196,0.0009345794393,0.5579439252,0.5448598131,0.5911214953,0.5177570093,0.5369158879,0.661682243,0.1873831776
"e=1, words=3 or 3.5",0.3778054863,0.8042394015,0.4027431421,0.03740648379,0.3640897756,0.5012468828,0.1034912718,0.349127182,0.5623441397,0.6608478803,0.5374064838,0.06733167082,0.002493765586,0.542394015,0.4102244389,0.6109725686,0.4538653367,0.5149625935,0.6359102244,0.3466334165
"e=1, words=4 or 4.5",0.2175572519,0.7442748092,0.2328244275,0.01526717557,0.2213740458,0.3244274809,0.04580152672,0.1183206107,0.3740458015,0.6183206107,0.5534351145,0.03053435115,0,0.3511450382,0.213740458,0.4923664122,0.2404580153,0.3320610687,0.4732824427,0.1908396947
"e=1, words=5 or more",0.1538461538,0.7802197802,0.1428571429,0,0.2142857143,0.2527472527,0.05494505495,0.1263736264,0.3791208791,0.6043956044,0.5604395604,0,0,0.3571428571,0.1208791209,0.3736263736,0.1813186813,0.3681318681,0.4725274725,0.163003663
"e=2, no caps",0.09703196347,0.5707762557,0.1438356164,0.01369863014,0.06506849315,0.3618721461,0.1061643836,0.1358447489,0.2408675799,0.6312785388,0.3938356164,0.02283105023,0,0.1940639269,0.1312785388,0.4189497717,0.09589041096,0.1700913242,0.4246575342,0.05136986301
"e=2, one in caps",0.3007246377,0.613154961,0.3508918618,0.07859531773,0.1192865106,0.4974916388,0.1295986622,0.2945930881,0.4381270903,0.6084169454,0.4977703456,0.08305462653,0.001672240803,0.3528428094,0.3765328874,0.5192307692,0.3341694537,0.3467112598,0.8160535117,0.1647157191
"e=2, all in caps",0.4980079681,0.7539840637,0.5428286853,0.1364541833,0.1955511288,0.6998671979,0.1543824701,0.5139442231,0.6069057105,0.7592961487,0.6719787517,0.1215139442,0.008632138114,0.5083001328,0.6025896414,0.5982735724,0.5690571049,0.5249003984,0.8764940239,0.2364541833
"e=2, explicit",0.4616666667,0.7996969697,0.5007575758,0.123030303,0.1742424242,0.685,0.1595454545,0.4562121212,0.5845454545,0.8362121212,0.6942424242,0.1063636364,0.007878787879,0.4915151515,0.5259090909,0.6431818182,0.4795454545,0.4848484848,0.8309090909,0.2176363636
"e=2, one explicit",0.2858585859,0.5676767677,0.3505050505,0.07525252525,0.1378787879,0.4924242424,0.1186868687,0.3146464646,0.4171717172,0.5414141414,0.4560606061,0.08737373737,0.001515151515,0.3348484848,0.397979798,0.4550505051,0.3782828283,0.3434343434,0.7696969697,0.1643939394
"e=2, implicit",0.236318408,0.5771144279,0.263681592,0.0447761194,0.1592039801,0.4328358209,0.07213930348,0.263681592,0.3830845771,0.5149253731,0.3880597015,0.02985074627,0,0.3208955224,0.3383084577,0.4378109453,0.3606965174,0.3308457711,0.776119403,0.2313432836
"e=2, no special char",0.3888203864,0.6771475545,0.4471845458,0.09884915742,0.1543362104,0.5924784217,0.1403616934,0.411837238,0.5211672832,0.697081792,0.5649404028,0.09884915742,0.005548705302,0.4293053843,0.4876695438,0.5406905055,0.4412248253,0.4282778463,0.8027127004,0.1845869297
"e=2, one with special char",0.311440678,0.6906779661,0.3029661017,0.1087570621,0.1412429379,0.5331920904,0.1518361582,0.2450564972,0.3827683616,0.6518361582,0.6186440678,0.07203389831,0.002824858757,0.3163841808,0.3029661017,0.5953389831,0.3411016949,0.3531073446,0.7457627119,0.2139830508
"e=2, special char",0.1111111111,0.8055555556,0,0.05555555556,0.08333333333,0.5277777778,0,0.1666666667,0.1666666667,0.7222222222,0.6944444444,0.02777777778,0,0.1944444444,0.1666666667,0.4444444444,0.08333333333,0.1666666667,0.3888888889,0.02777777778
"e=2, words=1 or 1.5",0.3587662338,0.5476190476,0.3993506494,0.1174242424,0.0974025974,0.5817099567,0.178030303,0.3993506494,0.4420995671,0.6515151515,0.507034632,0.1228354978,0.01136363636,0.3051948052,0.45995671,0.4420995671,0.4031385281,0.3998917749,0.7532467532,0.1195887446
"e=2, words=2 or 2.5",0.4157894737,0.7543859649,0.4796491228,0.09789473684,0.1733333333,0.6185964912,0.1280701754,0.4533333333,0.5621052632,0.7312280702,0.618245614,0.09438596491,0.002807017544,0.5014035088,0.5140350877,0.5971929825,0.4775438596,0.4424561404,0.8189473684,0.2098245614
"e=2, words=3 or 3.5",0.3013888889,0.7,0.3055555556,0.07777777778,0.2013888889,0.525,0.09722222222,0.2041666667,0.4375,0.6569444444,0.55,0.04583333333,0,0.3763888889,0.3333333333,0.6,0.3166666667,0.3736111111,0.7583333333,0.25625
"e=2, words=4 or 4.5",0.2361111111,0.8134920635,0.2599206349,0.04761904762,0.1626984127,0.4027777778,0.09722222222,0.07341269841,0.3611111111,0.6765873016,0.6626984127,0.02380952381,0,0.2777777778,0.1924603175,0.5932539683,0.251984127,0.3293650794,0.7857142857,0.1952380952
