Feature,AylienNER + AGDISTIS,Tagme NED,DBpedia NER + AGDISTIS,Ambiverse NED,MeaningCloud NER + AGDISTIS,DBpedia NED,MeaningCloud NED,Textrazor NER + AGDISTIS,Dandelion NER + AGDISTIS,Dandelion NED,Ontotext NED,Babelfy NER + AGDISTIS,Ambiverse NER + AGDISTIS,Tagme NER + AGDISTIS,EntityClassifier NER + AGDISTIS,Babelfy NED,Stanford NER + AGDISTIS,Ontotext NER + AGDISTIS,AmbiverseNED 2.0,AmbiverseNER 2.0 + AGDISTIS
e=1,0.4111545705,0.63812835,0.4439374185,0.1242937853,0.1933941764,0.5487469216,0.1455921668,0.4223526003,0.484818195,0.4476066307,0.2819136607,0.1204548747,0.005649717514,0.4376358105,0.3692380125,0.2588003491,0.4345212227,0.398377517,0.5966970882,0.173837462
"e=1, caps",0.4948629481,0.6620663216,0.5327774583,0.1610120759,0.2327966264,0.6153919877,0.1690670361,0.499808319,0.5493962047,0.4640077768,0.308462718,0.1436649415,0.006900517539,0.4976998275,0.462689285,0.2737741541,0.5478244202,0.4682767874,0.6854514089,0.213053479
"e=1, no caps",0.1514336918,0.5663082437,0.1684587814,0.01075268817,0.0719832736,0.3431899642,0.07347670251,0.1839904421,0.2861409797,0.3997013142,0.2002986858,0.04898446834,0.001792114695,0.2535842294,0.08028673835,0.2139898731,0.08452807646,0.1833930705,0.3207885305,0.05286738351
"e=1, explicit",0.5205279748,0.771178093,0.5572301024,0.1495271868,0.2313829787,0.6521867612,0.1757333978,0.5071907013,0.5987391647,0.5604764719,0.3436761229,0.1463750985,0.00768321513,0.551713948,0.4396375099,0.2973739634,0.5193065406,0.489607959,0.6643026005,0.2130614657
"e=1, implicit",0.1063360882,0.2685950413,0.1283746556,0.05454545455,0.08842975207,0.2614325069,0.06225895317,0.1878787879,0.1685950413,0.1349035813,0.1102203857,0.04876033058,0,0.1214876033,0.1744628099,0.1526328217,0.2002754821,0.1458677686,0.4082644628,0.0652892562
"e=1, special char",0.225388601,0.7089810017,0.1787564767,0.05699481865,0.1977547496,0.3091537133,0.05699481865,0.2599309154,0.3091537133,0.4295336788,0.3667530225,0.05872193437,0.0103626943,0.3367875648,0.1446459413,0.2374043918,0.2668393782,0.2974956822,0.4974093264,0.2642487047
"e=1, no special char",0.4285012674,0.6323669202,0.4686311787,0.1307034221,0.1933618504,0.5712927757,0.1539959961,0.4380544994,0.5016159696,0.4501154264,0.2744296578,0.1263466413,0.005228136882,0.4477186312,0.3904467681,0.2612550169,0.4507287706,0.4083887833,0.6059885932,0.1658745247
"e=1, words=1 or 1.5",0.4314586995,0.3602811951,0.4484475688,0.2811950791,0.04042179262,0.5890451084,0.3069712947,0.4610427651,0.4562097247,0.3823667252,0.1969830111,0.1647627417,0.01933216169,0.2073813708,0.4101933216,0.1916227299,0.4009958992,0.3529584066,0.5219683656,0.02811950791
"e=1, words=2 or 2.5",0.4786604361,0.7320872274,0.530529595,0.1023364486,0.2119937695,0.6406542056,0.1034267913,0.5109034268,0.5377570093,0.4872897196,0.2913551402,0.1422897196,0.0009345794393,0.5542056075,0.4269626168,0.3146506453,0.5098130841,0.4475077882,0.661682243,0.1873831776
"e=1, words=3 or 3.5",0.361762261,0.7743142145,0.387364921,0.0349127182,0.3640897756,0.4546965919,0.09145696365,0.3341645885,0.5091438071,0.4742310889,0.3538237739,0.06400665004,0.002493765586,0.5386533666,0.3188279302,0.2744883822,0.4409808811,0.4299667498,0.6359102244,0.355361596
"e=1, words=4 or 4.5",0.2175572519,0.7264631043,0.2251908397,0.01145038168,0.2213740458,0.286259542,0.04580152672,0.1145038168,0.334605598,0.4522900763,0.3525445293,0.02671755725,0,0.3511450382,0.1608142494,0.1935750636,0.2366412214,0.2697201018,0.4732824427,0.1908396947
"e=1, words=5 or more",0.141025641,0.7564102564,0.13003663,0,0.2106227106,0.2106227106,0.05494505495,0.119047619,0.3415750916,0.43288854,0.363003663,0,0,0.3516483516,0.07967032967,0.1138670853,0.1794871795,0.2994505495,0.4725274725,0.1758241758
e=2,0.5037838789,0.8433650123,0.5369588173,0.1691305878,0.2275607181,0.6661738824,0.2249560014,0.4431538191,0.5458817318,0.6202242671,0.5701689546,0.1187961985,0.008447729673,0.5759415699,0.4342043238,0.380962514,0.5409890883,0.4478880676,0.787750792,0.1992256248
"e=2, no caps",0.1598173516,0.7363013699,0.2248858447,0.02739726027,0.09589041096,0.4348173516,0.1809360731,0.1815068493,0.3173515982,0.6116438356,0.4361872146,0.02853881279,0,0.3270547945,0.1549739074,0.286454071,0.1267123288,0.223173516,0.4246575342,0.04337899543
"e=2, one in caps",0.4726867336,0.8188405797,0.5144927536,0.1454849498,0.1889632107,0.6365663322,0.2205685619,0.3717948718,0.5217948718,0.5714922758,0.5439799331,0.1254180602,0.003344481605,0.5557413601,0.3832537028,0.3833545681,0.4946488294,0.4197324415,0.8160535117,0.1783723523
"e=2, all in caps",0.6223439575,0.8891102258,0.6411022576,0.224435591,0.2888446215,0.7510956175,0.2403718459,0.561752988,0.6266932271,0.6517453994,0.6247343958,0.1411022576,0.01394422311,0.6603585657,0.5457618466,0.4070242838,0.6890770252,0.5300132802,0.8764940239,0.2569721116
"e=2, explicit",0.5915151515,0.9133333333,0.6043939394,0.2036363636,0.2621212121,0.7446060606,0.2553030303,0.4934848485,0.6073333333,0.7113506494,0.6498787879,0.1259090909,0.01363636364,0.6251515152,0.479974026,0.4275123967,0.6008787879,0.4933333333,0.8309090909,0.2366666667
"e=2, one explicit",0.4285353535,0.8078282828,0.4982323232,0.1383838384,0.2070707071,0.6136363636,0.1965656566,0.4083333333,0.5063131313,0.5436652237,0.5146969697,0.120959596,0.001515151515,0.5646464646,0.4027777778,0.3471404521,0.5070707071,0.4161111111,0.7696969697,0.1747474747
"e=2, implicit",0.1542288557,0.4440298507,0.1741293532,0.03731343284,0.0447761194,0.2810945274,0.1156716418,0.2014925373,0.236318408,0.2492537313,0.1890547264,0.04975124378,0,0.2276119403,0.2132703534,0.1654228856,0.2164179104,0.2313432836,0.5223880597,0.01243781095
"e=2, no special char",0.5269214961,0.8422729141,0.5661734484,0.1718043568,0.230785039,0.6793670366,0.2304151254,0.468865598,0.5779695849,0.6332012213,0.566892725,0.1223797781,0.008631319359,0.6024455405,0.4692178968,0.3818655108,0.5609124538,0.4676120016,0.8027127004,0.1989313605
"e=2, one with special char",0.4004237288,0.834039548,0.418079096,0.1694915254,0.2231638418,0.5923728814,0.2217514124,0.3064971751,0.3846045198,0.5401937046,0.5879943503,0.1094632768,0.008474576271,0.4435028249,0.2428455962,0.379196933,0.4696327684,0.3531073446,0.7457627119,0.2231638418
"e=2, special char",0.1388888889,0.9537037037,0,0.0462962963,0.1111111111,0.5555555556,0,0.1805555556,0.1574074074,0.5601851852,0.6009259259,0.01851851852,0,0.25,0.1111111111,0.3518518519,0.1111111111,0.1805555556,0.3888888889,0.05555555556
"e=2, words=1 or 1.5",0.4983766234,0.7827380952,0.5332792208,0.211038961,0.1461038961,0.6700757576,0.2838203463,0.4924242424,0.5167748918,0.5954854669,0.5298701299,0.1658549784,0.01623376623,0.4959415584,0.47754329,0.3676175015,0.5595238095,0.4716991342,0.7532467532,0.1336580087
"e=2, words=2 or 2.5",0.5450877193,0.8828070175,0.5924561404,0.1575438596,0.2698245614,0.6954385965,0.2048070175,0.5015789474,0.6016140351,0.6567017544,0.6089122807,0.1092982456,0.006315789474,0.6666666667,0.4732051516,0.4136942356,0.5894736842,0.4627017544,0.8189473684,0.2326315789
"e=2, words=3 or 3.5",0.4222222222,0.8416666667,0.4041666667,0.1402777778,0.2611111111,0.6165277778,0.1833333333,0.20625,0.4576388889,0.5596626984,0.5247222222,0.06666666667,0,0.5013888889,0.2766865079,0.3307771164,0.3979166667,0.3736111111,0.7583333333,0.2333333333
"e=2, words=4 or 4.5",0.3333333333,0.8869047619,0.3412698413,0.08333333333,0.2619047619,0.4801587302,0.1388888889,0.119047619,0.4071428571,0.5916666667,0.5845238095,0.03571428571,0,0.376984127,0.1341269841,0.2701736755,0.2912698413,0.3392857143,0.7857142857,0.2142857143
